Date,GC=F,GE,IBM,MSFT,WMT,XOM,^GSPC
2005-01-01,421.79998779296875,131.94700622558594,51.9195671081543,18.449718475341797,35.5216178894043,27.95119285583496,1181.27001953125
2005-02-01,436.5,128.55062866210938,51.45268249511719,17.66343116760254,34.98607635498047,34.294395446777344,1203.5999755859375
2005-03-01,428.70001220703125,132.51797485351562,50.882659912109375,17.020753860473633,33.969242095947266,32.442832946777344,1180.5899658203125
2005-04-01,435.0,133.03240966796875,42.53028106689453,17.816503524780273,32.05010223388672,31.043869018554688,1156.8499755859375
2005-05-01,,134.06146240234375,42.068111419677734,18.168622970581055,32.111305236816406,30.59206771850586,1191.5
2005-06-01,435.8999938964844,127.3363265991211,41.4261474609375,17.548067092895508,32.875709533691406,31.442720413208008,1191.3299560546875
2005-07-01,429.8999938964844,127.57071685791016,46.59604263305664,18.09202766418457,33.66010284423828,32.14301681518555,1234.1800537109375
2005-08-01,433.79998779296875,124.27981567382812,45.01045608520508,19.342432022094727,30.665813446044922,32.77219772338867,1220.3299560546875
2005-09-01,469.0,124.50166320800781,44.894859313964844,18.23072052001953,29.982786178588867,34.93408966064453,1228.81005859375
2005-10-01,465.1000061035156,126.21681213378906,45.823848724365234,18.209455490112305,32.370750427246094,30.865575790405273,1207.010009765625
2005-11-01,494.6000061035156,132.9537811279297,49.752601623535156,19.61236572265625,33.22602844238281,31.90469741821289,1249.47998046875
2005-12-01,517.0999755859375,130.4600067138672,46.11326217651367,18.582626342773438,32.02179718017578,31.039718627929688,1248.2900390625
2006-01-01,,122.76805877685547,45.608367919921875,20.003856658935547,31.64563751220703,34.675865173339844,1280.0799560546875
2006-02-01,561.5999755859375,123.21793365478516,45.013729095458984,19.09426498413086,31.13089942932129,32.80805969238281,1280.6600341796875
2006-03-01,581.7999877929688,131.35401916503906,46.38087844848633,19.401395797729492,32.42116928100586,33.810115814208984,1294.8699951171875
2006-04-01,651.7999877929688,130.6365203857422,46.30778884887695,17.219539642333984,31.018836975097656,35.04341125488281,1310.6099853515625
2006-05-01,642.5,129.39013671875,44.93552780151367,16.15000343322754,33.37471008300781,33.83789825439453,1270.0899658203125
2006-06-01,613.5,124.48042297363281,43.35954666137695,16.678253173828125,33.2982063293457,34.25376510620117,1270.199951171875
2006-07-01,634.2000122070312,124.3842544555664,43.692562103271484,17.222270965576172,30.761260986328125,37.82150650024414,1276.6600341796875
2006-08-01,625.9000244140625,129.5970458984375,45.701927185058594,18.39617919921875,30.913354873657227,37.78241729736328,1303.8199462890625
2006-09-01,598.5999755859375,134.31524658203125,46.433902740478516,19.649354934692383,34.22221755981445,37.638004302978516,1335.8499755859375
2006-10-01,,134.5528564453125,52.32170867919922,20.62643051147461,34.1944580078125,40.061180114746094,1377.93994140625
2006-11-01,646.9000244140625,135.2042999267578,52.089385986328125,21.093425750732422,31.98792266845703,43.08457565307617,1400.6300048828125
2006-12-01,635.2000122070312,142.6006317138672,55.23176956176758,21.52598762512207,32.0434455871582,43.169952392578125,1418.300048828125
2007-01-01,652.0,139.17669677734375,56.36881637573242,22.246883392333984,33.21342849731445,41.74467086791992,1438.239990234375
2007-02-01,669.4000244140625,134.77549743652344,52.83830261230469,20.307666778564453,33.645225524902344,40.3813362121582,1406.8199462890625
2007-03-01,663.0,137.5856475830078,53.750244140625,20.161054611206055,32.69804763793945,42.68623352050781,1420.8599853515625
2007-04-01,,143.422119140625,58.28359603881836,21.65849494934082,33.53335952758789,44.90963363647461,1482.3699951171875
2007-05-01,661.0,146.22366333007812,60.786903381347656,22.201038360595703,33.309417724609375,47.0538215637207,1530.6199951171875
2007-06-01,648.0999755859375,148.947265625,60.250732421875,21.387554168701172,33.82256317138672,47.660396575927734,1503.3499755859375
2007-07-01,,151.90370178222656,63.34196472167969,21.03919792175293,32.30403137207031,48.37064743041992,1455.27001953125
2007-08-01,673.0,152.33470153808594,66.79959106445312,20.85051155090332,30.673015594482422,48.71158981323242,1473.989990234375
2007-09-01,742.7999877929688,162.25001525878906,67.67342376708984,21.455236434936523,30.84192657470703,52.802608489990234,1526.75
2007-10-01,792.0,162.39804077148438,66.70832824707031,26.808128356933594,31.94416618347168,52.47744369506836,1549.3800048828125
2007-11-01,782.2000122070312,151.07435607910156,60.42353820800781,24.470325469970703,33.84486389160156,50.86301040649414,1481.1400146484375
2007-12-01,834.9000244140625,146.26083374023438,62.32126235961914,26.01262664794922,33.58341598510742,53.655029296875,1468.3599853515625
2008-01-01,922.7000122070312,140.70672607421875,61.75053787231445,23.820537567138672,36.013118743896484,49.07926559448242,1378.550048828125
2008-02-01,972.0999755859375,131.872802734375,65.64202117919922,19.874807357788086,35.19689178466797,49.8294792175293,1330.6300048828125
2008-03-01,916.2000122070312,148.6133270263672,66.63372039794922,20.817604064941406,37.390045166015625,48.64690399169922,1322.699951171875
2008-04-01,862.7999877929688,131.3065643310547,69.85142517089844,20.920291900634766,41.347591400146484,53.53000259399414,1385.5899658203125
2008-05-01,887.2999877929688,123.35592651367188,74.90364837646484,20.77358055114746,41.17644119262695,51.051082611083984,1400.3800048828125
2008-06-01,,107.17347717285156,68.87599182128906,20.253725051879883,40.24728775024414,50.91517639160156,1280.0
2008-07-01,913.9000244140625,114.8604507446289,74.36726379394531,18.93585968017578,41.98035430908203,46.466670989990234,1267.3800048828125
2008-08-01,829.2999877929688,114.08906555175781,70.73546600341797,20.091753005981445,42.30261993408203,46.22404098510742,1282.8299560546875
2008-09-01,874.2000122070312,103.53279113769531,68.2284164428711,19.72838020324707,43.0628547668457,45.09552001953125,1166.3599853515625
